metodo,generacion,repeticiones,fitness_max_media,fitness_max_desvio,fitness_min_media,fitness_min_desvio,fitness_prom_media,fitness_prom_desvio,desv_std_media,desv_std_desvio,fitness_mejor_gen_media,fitness_mejor_gen_desvio,backlog_alertas_media,backlog_alertas_desvio,desbalance_carga_media,desbalance_carga_desvio,tiempo_gen_media,tiempo_gen_desvio
torneo,2,30,7.418800328389142e-05,7.0577006936074e-07,7.084869994187583e-05,1.0105884697082344e-06,7.274090483146729e-05,6.779628684752893e-07,1.080989044618266e-06,3.169601874580258e-07,7.418800328389142e-05,7.0577006936074e-07,367.93333333333334,2.7534722071236284,0.0974441050245917,0.02219273210917031,0.002854458491007487,0.0001527908447771919
torneo,3,30,7.448061739320903e-05,6.922318920418577e-07,7.190183789417807e-05,1.3903101124405894e-06,7.347548455383594e-05,7.904198424512434e-07,7.664316806524523e-07,4.231638985032264e-07,7.448061739320903e-05,6.922318920418577e-07,368.26666666666665,2.4344274032324718,0.09478777717401447,0.024318736791716238,0.0028104543685913085,0.00011023130568577996
torneo,4,30,7.453670319506734e-05,7.593117074488102e-07,7.300520236604621e-05,1.0140871689198236e-06,7.395408902315063e-05,7.445575948836614e-07,5.062451603628629e-07,3.4273839276572546e-07,7.453670319506734e-05,7.593117074488102e-07,368.3666666666667,2.6455340811852284,0.09585442710223414,0.026063608592011598,0.002813418706258138,9.757572992727472e-05
torneo,5,30,7.4569800605275e-05,7.79403325949663e-07,7.361841570241883e-05,1.0714629106483232e-06,7.428483284065848e-05,7.423638324626064e-07,3.172385888036368e-07,3.0275234741781395e-07,7.4569800605275e-05,7.79403325949663e-07,368.46666666666664,2.7384029240987604,0.0942613309946331,0.02528626877974114,0.002819506327311198,0.00013542296489502405
torneo,6,30,7.457887123865375e-05,7.789027532608206e-07,7.436364026055664e-05,7.74157017893879e-07,7.449574757222386e-05,7.394407160008897e-07,8.630399547167955e-08,1.3478940202182918e-07,7.457887123865375e-05,7.789027532608206e-07,368.56666666666666,2.5418338931232163,0.09377974440156815,0.025241369110740867,0.002839350700378418,0.00023191059409726267
torneo,7,30,7.458475000788815e-05,7.826240778747322e-07,7.437496944050452e-05,8.470738795793743e-07,7.452091464255733e-05,7.736267426373737e-07,7.253736021121713e-08,1.866340984567358e-07,7.458475000788815e-05,7.826240778747322e-07,368.53333333333336,2.609443504331692,0.09377339461883513,0.025106154725495836,0.002845915158589681,0.00022403473989124773
torneo,8,30,7.459525948383439e-05,7.816204635710772e-07,7.442563915899127e-05,9.449658772840553e-07,7.455784137882585e-05,7.754744762585887e-07,5.145448634376618e-08,1.9058812010517513e-07,7.459525948383439e-05,7.816204635710772e-07,368.3666666666667,2.6061377597871513,0.09507335092104276,0.025836997796746176,0.0027919689814249675,0.0001366711102869247
torneo,9,30,7.462037934104425e-05,7.64569201469187e-07,7.456298684976199e-05,7.956429273576993e-07,7.458567271579673e-05,7.813470477620701e-07,1.898549388489686e-08,3.014970348882653e-08,7.462037934104425e-05,7.64569201469187e-07,368.3666666666667,2.6061377597871513,0.09454555366666753,0.025890918122949007,0.0027920802434285483,9.526257429943574e-05
torneo,10,30,7.46582032037716e-05,7.658906025070266e-07,7.454439577978793e-05,8.163472550079435e-07,7.459713726588341e-05,7.805548799557793e-07,3.5375939948868544e-08,6.15618496961136e-08,7.46582032037716e-05,7.658906025070266e-07,368.4,2.5810984029124655,0.093606472683133,0.02493703896110208,0.00281373659769694,0.00011636596020961711
torneo,11,30,7.46552238154321e-05,7.885899668970041e-07,7.456519906600191e-05,8.013082503923997e-07,7.461871418233728e-05,7.784251398811265e-07,3.1301916107332836e-08,4.271646610910072e-08,7.46552238154321e-05,7.885899668970041e-07,368.3,2.654209408883726,0.09480285834597282,0.02562007162136146,0.002816629409790039,0.00014654350312050084
torneo,12,30,7.467105247800898e-05,7.761536800050502e-07,7.456499264767293e-05,7.768400854364178e-07,7.463561005676024e-05,7.810543288961874e-07,3.506908199256742e-08,3.844255448035927e-08,7.467105247800898e-05,7.761536800050502e-07,368.3333333333333,2.617360256564548,0.09406485338274621,0.025846799474171293,0.0027951717376708983,9.201311462187673e-05
torneo,13,30,7.467664926784882e-05,7.726065065722419e-07,7.460541839988148e-05,7.948452157129755e-07,7.465429946691831e-05,7.831342674517302e-07,2.3985615754019204e-08,3.452635256462473e-08,7.467664926784882e-05,7.726065065722419e-07,368.3333333333333,2.617360256564548,0.09392236391310992,0.025837334124995687,0.002797365188598633,0.00010088680472226916
torneo,14,30,7.473100376549855e-05,7.64235145492672e-07,7.463768576760417e-05,7.76641268828862e-07,7.467312888172213e-05,7.731794029069893e-07,2.8305066559655042e-08,3.8003054904903526e-08,7.473100376549855e-05,7.64235145492672e-07,368.23333333333335,2.6997232723237605,0.09363299445069394,0.0248934014571032,0.0027870734532674155,8.464632057717241e-05
torneo,15,30,7.475369111243739e-05,7.619854956626053e-07,7.46493973001877e-05,7.803973405707247e-07,7.468846374061426e-05,7.675768068747448e-07,3.625188517835241e-08,4.876657951620663e-08,7.475369111243739e-05,7.619854956626053e-07,368.2,2.77177896317323,0.09306125453884488,0.025186654140575988,0.0028123855590820312,0.00010388053906889002
torneo,16,30,7.476194661011026e-05,7.65686425403995e-07,7.466177204126491e-05,7.666938594769464e-07,7.47177786537933e-05,7.616956155629706e-07,3.685258732616057e-08,4.773521584092942e-08,7.476194661011026e-05,7.65686425403995e-07,368.1333333333333,2.8373534698101377,0.09284960831091767,0.02502830160858787,0.0027997414271036785,8.468165937883708e-05
torneo,17,30,7.479168144546144e-05,7.627050221674907e-07,7.467928930532694e-05,7.569392328510014e-07,7.474313586512008e-05,7.570745474763188e-07,3.737277702084324e-08,6.221110450963964e-08,7.479168144546144e-05,7.627050221674907e-07,368.1,2.9048117037912644,0.09240641160002415,0.024359846569451917,0.002803166707356771,0.00010469642409898509
torneo,18,30,7.481015751736776e-05,7.667203681395389e-07,7.470184705114876e-05,7.536120612468186e-07,7.476051073798456e-05,7.617392373067306e-07,3.3975662251017755e-08,5.291651886366177e-08,7.481015751736776e-05,7.667203681395389e-07,368.23333333333335,2.8849590128365747,0.09191266651591573,0.02434092923071169,0.0028036991755167645,0.00011634468965016907
torneo,19,30,7.481645772234582e-05,7.643938790184792e-07,7.471558136023367e-05,7.493807904118483e-07,7.477259373933365e-05,7.610932465948073e-07,3.504953397630063e-08,5.431922101876108e-08,7.481645772234582e-05,7.643938790184792e-07,368.23333333333335,2.8849590128365747,0.09171998643502652,0.024305885952294666,0.0028069257736206056,0.00011519019188244675
torneo,20,30,7.483720045074915e-05,7.690982290498788e-07,7.474189061084767e-05,7.913413740719971e-07,7.480141209010814e-05,7.660004122517301e-07,3.236082215438165e-08,5.364348811722341e-08,7.483720045074915e-05,7.690982290498788e-07,368.1,2.9284572848114783,0.09143331352742029,0.02403748125615414,0.0027097145716349284,0.00012397792173816937
