fitness_max,fitness_min,fitness_prom,desv_std,tiempo_gen_seg,generacion,metodo,n_generaciones,tam_poblacion,mejor_x_gen,mejor_cromosoma_gen,repeticion
0.8178728936550337,0.8160306763560944,0.8173119220367905,0.0008178865932966291,3.8623809814453125e-05,18,ruleta,20,10,971052649,111001111000010001011001101001,2
0.8178728936550337,0.8160306763560944,0.8174912384908884,0.0007306409863485601,4.9591064453125e-05,19,ruleta,20,10,971052649,111001111000010001011001101001,2
0.81806220285992,0.5969213571094675,0.7956096893167317,0.06623179688940878,4.410743713378906e-05,20,ruleta,20,10,971165025,111001111000101100110101100001,2
0.5948431006968299,0.042120729643939106,0.2777097902900199,0.1790317895081868,5.269050598144531e-05,1,ruleta,20,10,828134894,110001010111000101010111101110,3
0.5948808159617378,0.1792856533040726,0.4332260577988178,0.15880775340161693,4.744529724121094e-05,2,ruleta,20,10,828161147,110001010111001011110001111011,3
0.5948813489518038,0.2520460661477302,0.4940899508833563,0.13409321302441612,4.553794860839844e-05,3,ruleta,20,10,828161518,110001010111001011110111101110,3
0.8862517210319688,0.27173859038119225,0.5642185183850276,0.15936224451044442,4.363059997558594e-05,4,ruleta,20,10,1010830682,111100010000000000110101011010,3
0.9192474588451355,0.5683794335592588,0.6537985908668004,0.12495339022963386,5.078315734863281e-05,5,ruleta,20,10,1029475674,111101010111001000110101011010,3
0.9192477177942185,0.5683794335592588,0.6511483408267843,0.1264461363310948,5.316734313964844e-05,6,ruleta,20,10,1029475819,111101010111001000110111101011,3
0.886309238902909,0.5683794335592588,0.6769943298009871,0.13739266401034253,4.100799560546875e-05,7,ruleta,20,10,1010863483,111100010000001000110101111011,3
0.886309238902909,0.5684254494706388,0.7008699822957694,0.15171803325369615,4.1484832763671875e-05,8,ruleta,20,10,1010863483,111100010000001000110101111011,3
0.8895299139947078,0.5684254508749614,0.7962904149216504,0.13836534594732108,4.458427429199219e-05,9,ruleta,20,10,1012698458,111100010111001000110101011010,3
0.8895299139947078,0.5876945337409304,0.8570917913720628,0.08980665486114744,4.506111145019531e-05,10,ruleta,20,10,1012698458,111100010111001000110101011010,3
0.8890694516583303,0.8863091810351457,0.887229211638229,0.0012171874707645439,4.410743713378906e-05,11,ruleta,20,10,1012436314,111100010110001000110101011010,3
0.910326784777859,0.8863091810351457,0.8891248925959274,0.007112075433053834,4.220008850097656e-05,12,ruleta,20,10,1024468314,111101000100000010010101011010,3
0.910326784777859,0.8863091810351457,0.8895390225963723,0.007038350702937238,4.601478576660156e-05,13,ruleta,20,10,1024468314,111101000100000010010101011010,3
0.8923910645443311,0.8863091810351457,0.8882975046976564,0.0018854831401096236,4.0531158447265625e-05,14,ruleta,20,10,1014325810,111100011101010110001000110010,3
0.8922951914080536,0.8863091810351457,0.8880214602905465,0.0019371929656047259,5.078315734863281e-05,15,ruleta,20,10,1014271322,111100011101001000110101011010,3
0.8922951914080536,0.8863091810351457,0.8888960883905341,0.0020827073550175553,4.887580871582031e-05,16,ruleta,20,10,1014271322,111100011101001000110101011010,3
0.8922951914080536,0.8863091810351457,0.888610491359001,0.002217672743105945,4.220008850097656e-05,17,ruleta,20,10,1014271322,111100011101001000110101011010,3
0.8922951914080536,0.8863091810351457,0.8886570382716549,0.0026002079214905998,4.124641418457031e-05,18,ruleta,20,10,1014271322,111100011101001000110101011010,3
0.8922951914080536,0.8863091810351457,0.8889330653339733,0.0024800514945658484,3.9577484130859375e-05,19,ruleta,20,10,1014271322,111100011101001000110101011010,3
0.8922951914080536,0.8863091810351457,0.8880584372343641,0.0023728433511403684,3.886222839355469e-05,20,ruleta,20,10,1014271322,111100011101001000110101011010,3
0.7843957837298176,0.04014502160545816,0.29232743574649306,0.25973951025726,8.487701416015625e-05,1,torneo,20,10,950971486,111000101011101010110001011110,1
0.7843958794108291,0.23424520638823465,0.5758567748115493,0.2540569845594233,7.033348083496094e-05,2,torneo,20,10,950971544,111000101011101010110010011000,1
